,Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
7193,USA,California City,58,Moderate,1,Good,41,Good,2,Good,58,Moderate
7194,Italy,Calolziocorte,60,Moderate,2,Good,40,Good,4,Good,60,Moderate
7195,Bolivia,Camiri,12,Good,1,Good,1,Good,0,Good,12,Good
7196,Italy,Campobello Di Mazara,34,Good,1,Good,27,Good,4,Good,34,Good
7197,Hungary,Balatonfured,64,Moderate,1,Good,41,Good,0,Good,64,Moderate
7198,Hungary,Balmazujvaros,71,Moderate,1,Good,33,Good,1,Good,71,Moderate
7199,UK,Banbury,26,Good,1,Good,24,Good,4,Good,26,Good
7200,Cameroon,Banyo,63,Moderate,2,Good,12,Good,0,Good,63,Moderate
7201,Indonesia,Banyumas,62,Moderate,1,Good,36,Good,0,Good,62,Moderate
7202,Tunisia,Bardaw,114,Unhealthy(SG),4,Good,28,Good,20,Good,114,Unhealthy(SG)
7204,India,Barsi,100,Unhealthy(SG),0,Good,26,Good,0,Good,100,Unhealthy(SG)
7205,Germany,Barsinghausen,35,Good,0,Good,35,Good,1,Good,28,Good
7206,Venezuela,Baruta,42,Good,1,Good,17,Good,6,Good,42,Good
7207,Kyrgyzstan,Batken,123,Unhealthy(SG),1,Good,41,Good,0,Good,123,Unhealthy(SG)
7208,Indonesia,Baturaden,69,Moderate,1,Good,35,Good,1,Good,69,Moderate
7209,India,Bayana,211,Very Unhealthy,1,Good,64,Moderate,0,Good,211,Very Unhealthy
7210,Russia,Baykalsk,31,Good,1,Good,31,Good,0,Good,30,Good
7211,USA,Bayonet Point,64,Moderate,1,Good,22,Good,10,Good,64,Moderate
7212,Poland,Zabki,41,Good,1,Good,41,Good,0,Good,31,Good
7213,Japan,Zama,76,Moderate,2,Good,28,Good,11,Good,76,Moderate
7214,China,Zhaoqing,145,Unhealthy(SG),4,Good,8,Good,21,Good,145,Unhealthy(SG)
7215,China,Zhaoyuan,87,Moderate,3,Good,29,Good,5,Good,87,Moderate
7216,China,Zhuozhou,162,Unhealthy,5,Good,19,Good,33,Good,162,Unhealthy
7217,Mexico,Canoa,105,Unhealthy(SG),1,Good,13,Good,6,Good,105,Unhealthy(SG)
7218,Italy,Capoterra,53,Moderate,1,Good,38,Good,3,Good,53,Moderate
7219,Italy,Capurso,58,Moderate,1,Good,56,Moderate,2,Good,58,Moderate
7220,Italy,Castellanza,72,Moderate,2,Good,26,Good,7,Good,72,Moderate
7221,USA,Catano,39,Good,0,Good,22,Good,0,Good,39,Good
7222,USA,Cave Spring,60,Moderate,2,Good,28,Good,6,Good,60,Moderate
7223,USA,Cedar Mill,52,Moderate,1,Good,8,Good,15,Good,52,Moderate
7224,USA,Cedar Rapids,35,Good,1,Good,35,Good,2,Good,32,Good
7225,Italy,Celano,88,Moderate,1,Good,37,Good,2,Good,88,Moderate
7226,Slovenia,Celje,85,Moderate,1,Good,41,Good,3,Good,85,Moderate
7227,South Africa,Ceres,119,Unhealthy(SG),3,Good,14,Good,2,Good,119,Unhealthy(SG)
7228,Brazil,Cerqueira Cesar,53,Moderate,1,Good,14,Good,1,Good,53,Moderate
7229,Czechia,Ceska Trebova,74,Moderate,1,Good,44,Good,1,Good,74,Moderate
7230,Russia,Khasanya,37,Good,1,Good,37,Good,0,Good,31,Good
7231,Thailand,Khlong Luang,73,Moderate,1,Good,27,Good,2,Good,73,Moderate
7232,Greece,Kholargos,50,Good,1,Good,45,Good,0,Good,50,Good
7233,Tanzania,Kidodi,17,Good,0,Good,17,Good,0,Good,16,Good
7234,Iraq,Kifri,135,Unhealthy(SG),2,Good,114,Unhealthy(SG),1,Good,135,Unhealthy(SG)
7235,Tanzania,Kigonsera,18,Good,0,Good,18,Good,0,Good,11,Good
7236,USA,King City,36,Good,1,Good,36,Good,1,Good,21,Good
7237,USA,Kingsville,99,Moderate,1,Good,19,Good,2,Good,99,Moderate
7238,Belgium,Kinrooi,42,Good,1,Good,31,Good,3,Good,42,Good
7239,Germany,Kirchheim,55,Moderate,1,Good,36,Good,4,Good,55,Moderate
7240,Tanzania,Kisanga,18,Good,0,Good,17,Good,0,Good,18,Good
7241,Belarus,Kobryn,38,Good,1,Good,38,Good,0,Good,34,Good
7242,Japan,Kokubu,39,Good,1,Good,39,Good,1,Good,26,Good
7243,Austria,Korneuburg,63,Moderate,1,Good,42,Good,2,Good,63,Moderate
7244,Greece,Kos,63,Moderate,1,Good,48,Good,0,Good,63,Moderate
7245,Guinea,Koundara,153,Unhealthy,1,Good,20,Good,0,Good,153,Unhealthy
7246,Poland,Krapkowice,75,Moderate,1,Good,38,Good,1,Good,75,Moderate
7247,Russia,Krasnoturinsk,32,Good,1,Good,32,Good,0,Good,4,Good
7248,Russia,Krasnoufimsk,37,Good,1,Good,27,Good,0,Good,37,Good
7249,Russia,Kubinka,65,Moderate,1,Good,24,Good,4,Good,65,Moderate
7250,India,Kudal,82,Moderate,0,Good,22,Good,0,Good,82,Moderate
7251,Albania,Kukes,59,Moderate,1,Good,41,Good,0,Good,59,Moderate
